Date,Country,Exchange rate
1988-07-25,Australia,1.2348728081007656
1988-07-26,Australia,1.2391573729863692
1988-07-27,Australia,1.2342631449024932
1988-07-28,Australia,1.243935812912054
1988-07-29,Australia,1.2461059190031152
1988-08-01,Australia,1.2453300124533
1988-08-02,Australia,1.2453300124533
1988-08-03,Australia,1.2436264146250466
1988-08-04,Australia,1.2430080795525171
1988-08-05,Australia,1.2453300124533
1988-08-08,Australia,1.25250501002004
1988-08-09,Australia,1.2554927809165097
1988-08-10,Australia,1.2518778167250877
1988-08-11,Australia,1.2454851164528584
1988-08-12,Australia,1.2492192379762648
1988-08-15,Australia,1.2490632025980515
1988-08-16,Australia,1.2461059190031152
1988-08-17,Australia,1.2453300124533
1988-08-18,Australia,1.2403870007442321
1988-08-19,Australia,1.2278978388998034
1988-08-22,Australia,1.228803145736053
1988-08-23,Australia,1.2271444348999878
1988-08-24,Australia,1.2254901960784315
1988-08-25,Australia,1.2239902080783354
1988-08-26,Australia,1.2328936012822094
1988-08-29,Australia,1.2386968908708038
1988-08-30,Australia,1.242544731610338
1988-08-31,Australia,1.244090569793481
1988-09-01,Australia,1.2599218848431397
1988-09-02,Australia,1.256913021618904
1988-09-05,Australia,
1988-09-06,Australia,1.2442453651860148
1988-09-07,Australia,1.2470382840753211
1988-09-08,Australia,1.243781094527363
1988-09-09,Australia,1.2426991425375917
1988-09-12,Australia,1.2503125781445361
1988-09-13,Australia,1.2550200803212852
1988-09-14,Australia,1.2605571662674901
1988-09-15,Australia,1.2492192379762648
1988-09-16,Australia,1.2572290671360322
1988-09-19,Australia,1.2717792191275594
1988-09-20,Australia,1.2716174974567651
1988-09-21,Australia,1.284191601386927
1988-09-22,Australia,1.2756729174639623
1988-09-23,Australia,1.2755102040816326
1988-09-26,Australia,1.2827090815802977
1988-09-27,Australia,1.2764871074802144
1988-09-28,Australia,1.2759984688018375
1988-09-29,Australia,1.2753475322025252
1988-09-30,Australia,1.277139208173691
1988-10-03,Australia,1.2748597654258031
1988-10-04,Australia,1.2672665061462425
1988-10-05,Australia,1.2642225031605563
1988-10-06,Australia,1.2556504269211453
1988-10-07,Australia,1.2518778167250877
1988-10-10,Australia,
1988-10-11,Australia,1.2462612163509472
1988-10-12,Australia,1.241927471435668
1988-10-13,Australia,1.2345679012345678
1988-10-14,Australia,1.2295585884667404
1988-10-17,Australia,1.238390092879257
1988-10-18,Australia,1.2356357345854443
1988-10-19,Australia,1.2195121951219512
1988-10-20,Australia,1.218769043266301
1988-10-21,Australia,1.2183235867446394
1988-10-24,Australia,1.223840411210378
1988-10-25,Australia,1.2198097096852891
1988-10-26,Australia,1.212856276531231
1988-10-27,Australia,1.2208521548040532
1988-10-28,Australia,1.2163970319912418
1988-10-31,Australia,1.2195121951219512
1988-11-01,Australia,1.2186205215695833
1988-11-02,Australia,1.21197430614471
1988-11-03,Australia,1.2048192771084338
1988-11-04,Australia,1.2075836251660428
1988-11-07,Australia,1.2030798845043311
1988-11-08,Australia,1.2048192771084338
1988-11-09,Australia,1.1870845204178537
1988-11-10,Australia,1.1855364552459988
1988-11-11,Australia,
1988-11-14,Australia,1.1771630370806356
1988-11-15,Australia,1.1716461628588166
1988-11-16,Australia,1.168907071887785
1988-11-17,Australia,1.1648223645894
1988-11-18,Australia,1.1693171188026192
1988-11-21,Australia,1.1638733705772812
1988-11-22,Australia,1.1580775911986103
1988-11-23,Australia,1.1499540018399264
1988-11-24,Australia,
1988-11-25,Australia,1.1453441759248655
1988-11-28,Australia,1.1452130096197892
1988-11-29,Australia,1.1405109489051095
1988-11-30,Australia,1.1428571428571428
1988-12-01,Australia,1.1474469305794606
1988-12-02,Australia,1.148369315571888
1988-12-05,Australia,1.1381743683132255
1988-12-06,Australia,1.1344299489506524
1988-12-07,Australia,1.1574074074074074
1988-12-08,Australia,1.2084592145015105
1988-12-09,Australia,1.1524720525527257
1988-12-12,Australia,1.166452816983553
1988-12-13,Australia,1.180498170227836
1988-12-14,Australia,1.1700011700011699
1988-12-15,Australia,1.1712344811431248
1988-12-16,Australia,1.1813349084465445
1988-12-19,Australia,1.17096018735363
1988-12-20,Australia,1.1737089201877935
1988-12-21,Australia,1.1743981209630063
1988-12-22,Australia,1.1737089201877935
1988-12-23,Australia,1.1757789535567313
1988-12-26,Australia,
1988-12-27,Australia,1.1641443538998837
1988-12-28,Australia,1.1702750146284375
1988-12-29,Australia,1.1702750146284375
1988-12-30,Australia,1.1716461628588166
1989-01-02,Australia,
1989-01-03,Australia,1.1520737327188941
1989-01-04,Australia,1.1496895838123706
1989-01-05,Australia,1.1522064754003918
1989-01-06,Australia,1.1594202898550725
1989-01-09,Australia,1.157809424568716
1989-01-10,Australia,1.154201292705448
1989-01-11,Australia,1.158882836945185
1989-01-12,Australia,1.1530035743110805
1989-01-13,Australia,1.154068090017311
1989-01-16,Australia,
1989-01-17,Australia,1.1656370206317752
1989-01-18,Australia,1.1598237067965669
1989-01-19,Australia,1.1538017768547364
1989-01-20,Australia,1.146788990825688
1989-01-23,Australia,1.1386927806877705
1989-01-24,Australia,1.1353315168029063
1989-01-25,Australia,1.1415525114155252
1989-01-26,Australia,1.1388224575788635
1989-01-27,Australia,1.1435105774728416
1989-01-30,Australia,1.1341726210729273
1989-01-31,Australia,1.1268875366238449
1989-02-01,Australia,1.1254924029262803
1989-02-02,Australia,1.1229646266142617
1989-02-03,Australia,1.1406410402646288
1989-02-06,Australia,1.1344299489506524
1989-02-07,Australia,1.1268875366238449
1989-02-08,Australia,1.1217049915872126
1989-02-09,Australia,1.1261261261261262
1989-02-10,Australia,1.129305477131564
1989-02-13,Australia,1.1268875366238449
1989-02-14,Australia,1.1314777098891151
1989-02-15,Australia,1.1453441759248655
1989-02-16,Australia,1.1940298507462686
1989-02-17,Australia,1.2150668286755772
1989-02-20,Australia,
1989-02-21,Australia,1.2341108231519191
1989-02-22,Australia,1.2190661952944044
1989-02-23,Australia,1.2084592145015105
1989-02-24,Australia,1.2140342357654486
1989-02-27,Australia,1.2554927809165097
1989-02-28,Australia,1.2518778167250877
1989-03-01,Australia,1.2444001991040319
1989-03-02,Australia,1.243781094527363
1989-03-03,Australia,1.2303149606299213
1989-03-06,Australia,1.228803145736053
1989-03-07,Australia,1.2365524916532706
1989-03-08,Australia,1.2295585884667404
1989-03-09,Australia,1.222344456667889
1989-03-10,Australia,1.2171372930866602
1989-03-13,Australia,1.2166930283489477
1989-03-14,Australia,1.2325896708985578
1989-03-15,Australia,1.2417732522041476
1989-03-16,Australia,1.2217470983506413
1989-03-17,Australia,1.21758188238159
1989-03-20,Australia,1.213739531496541
1989-03-21,Australia,1.2165450121654502
1989-03-22,Australia,1.2183235867446394
1989-03-23,Australia,1.208313194780087
1989-03-24,Australia,1.2091898428053205
1989-03-27,Australia,1.214329083181542
1989-03-28,Australia,1.2254901960784315
1989-03-29,Australia,1.223540927444023
1989-03-30,Australia,1.223540927444023
1989-03-31,Australia,1.221001221001221
1989-04-03,Australia,1.2121212121212122
1989-04-04,Australia,1.2163970319912418
1989-04-05,Australia,1.2528188423953897
1989-04-06,Australia,1.2394645513138325
1989-04-07,Australia,1.2411567580985479
1989-04-10,Australia,1.2394645513138325
1989-04-11,Australia,1.2391573729863692
1989-04-12,Australia,1.2390038409119069
1989-04-13,Australia,1.2399256044637321
1989-04-14,Australia,1.2354830738818878
1989-04-17,Australia,1.2303149606299213
1989-04-18,Australia,1.249843769528809
1989-04-19,Australia,1.249843769528809
1989-04-20,Australia,1.2468827930174562
1989-04-21,Australia,1.2578616352201257
1989-04-24,Australia,1.2637432073802604
1989-04-25,Australia,1.2624668602449185
1989-04-26,Australia,1.2600806451612903
1989-04-27,Australia,1.2586532410320956
1989-04-28,Australia,1.2594458438287153
1989-05-01,Australia,1.2626262626262625
1989-05-02,Australia,1.260239445494644
1989-05-03,Australia,1.2559658377292138
1989-05-04,Australia,1.2495314257153567
1989-05-05,Australia,1.2515644555694618
1989-05-08,Australia,1.2507817385866167
1989-05-09,Australia,1.2575452716297786
1989-05-10,Australia,1.2615112905260504
1989-05-11,Australia,1.2624668602449185
1989-05-12,Australia,1.2779552715654952
1989-05-15,Australia,1.2851818532322323
1989-05-16,Australia,1.2963443090484834
1989-05-17,Australia,1.3182177695755337
1989-05-18,Australia,1.316655694535879
1989-05-19,Australia,1.3109596224436286
1989-05-22,Australia,1.3449899125756557
1989-05-23,Australia,1.3377926421404682
1989-05-24,Australia,1.3386880856760375
1989-05-25,Australia,1.3218770654329148
1989-05-26,Australia,1.3297872340425532
1989-05-29,Australia,
1989-05-30,Australia,1.3386880856760375
1989-05-31,Australia,1.329433661260303
1989-06-01,Australia,1.3280212483399734
1989-06-02,Australia,1.3183915622940015
1989-06-05,Australia,1.3227513227513228
1989-06-06,Australia,1.3283740701381508
1989-06-07,Australia,1.3203063110641668
1989-06-08,Australia,1.3301409949454641
1989-06-09,Australia,1.342281879194631
1989-06-12,Australia,1.352265043948614
1989-06-13,Australia,1.347164219318335
1989-06-14,Australia,1.3473457289140394
1989-06-15,Australia,1.3368983957219251
1989-06-16,Australia,1.3285505513484788
1989-06-19,Australia,1.3262599469496021
1989-06-20,Australia,1.320480654958405
1989-06-21,Australia,1.3003901170351104
1989-06-22,Australia,1.2886597938144329
1989-06-23,Australia,1.2953367875647668
1989-06-26,Australia,1.2953367875647668
1989-06-27,Australia,1.3070186903672723
1989-06-28,Australia,1.320480654958405
